clip_id,true_class,p1_sim_l0,p1_sim_l1,p1_sim_l2,p1_sim_l3,p1_argmax,p2_sim_l0,p2_sim_l1,p2_sim_l2,p2_sim_l3,p2_argmax,p3_sim_l0,p3_sim_l1,p3_sim_l2,p3_sim_l3,p3_argmax
5100422041.avi,2,0.19565017521381378,0.21806713938713074,0.2343585193157196,0.21342577040195465,2,0.17773617804050446,0.2357235848903656,0.24136599898338318,0.21720358729362488,2,0.1917485147714615,0.2315901666879654,0.22614139318466187,0.19525422155857086,1
5100402020.avi,2,0.2071930468082428,0.22628727555274963,0.2274196743965149,0.2080291509628296,2,0.2094486951828003,0.26845914125442505,0.24586325883865356,0.2143634557723999,1,0.22402150928974152,0.23776860535144806,0.2364455759525299,0.21002081036567688,1
5000951067.avi,2,0.1928080916404724,0.21231983602046967,0.23543822765350342,0.20226997137069702,2,0.19437375664710999,0.24345019459724426,0.23080196976661682,0.193241685628891,1,0.19786572456359863,0.22463539242744446,0.2202581763267517,0.18105298280715942,1
5100091051.avi,2,0.2231207937002182,0.2163873314857483,0.25545334815979004,0.2226349413394928,2,0.20374982059001923,0.24519813060760498,0.22825777530670166,0.2087005078792572,1,0.22957372665405273,0.2587427496910095,0.263577938079834,0.21891681849956512,2
9289010274.avi,3,0.285978764295578,0.29730552434921265,0.2933359742164612,0.3039093613624573,3,0.2486121654510498,0.3113594055175781,0.32143694162368774,0.2822326123714447,2,0.2371346652507782,0.2806396782398224,0.28329628705978394,0.27544713020324707,2
5100091059.avi,2,0.2156115472316742,0.21305841207504272,0.25149911642074585,0.21503975987434387,2,0.19077855348587036,0.23250152170658112,0.2223293036222458,0.198760986328125,1,0.21313941478729248,0.2514110505580902,0.25372010469436646,0.21069149672985077,2
5100092057.avi,2,0.2306601107120514,0.23512974381446838,0.2523950934410095,0.23404568433761597,2,0.20866182446479797,0.24818529188632965,0.24787120521068573,0.22518451511859894,1,0.22083379328250885,0.2727314829826355,0.2580982744693756,0.2337557077407837,1
5000671057.avi,2,0.19453856348991394,0.22214993834495544,0.21724513173103333,0.19535474479198456,1,0.1961710900068283,0.2511049509048462,0.2402019500732422,0.20105278491973877,1,0.18470776081085205,0.22454778850078583,0.21345700323581696,0.19004622101783752,1
5100092071.avi,3,0.22666890919208527,0.22640901803970337,0.25325095653533936,0.22879274189472198,2,0.18363478779792786,0.22132641077041626,0.22849860787391663,0.2073214054107666,2,0.2012632191181183,0.25980696082115173,0.24390777945518494,0.21815328299999237,1
987736024.avi,2,0.27266865968704224,0.28580203652381897,0.28350239992141724,0.27250611782073975,1,0.22112828493118286,0.2892524003982544,0.2718377113342285,0.2585715651512146,1,0.2556663751602173,0.2755162715911865,0.27582481503486633,0.2516583502292633,2
9877360241.avi,3,0.25302377343177795,0.2634658217430115,0.26338744163513184,0.24437840282917023,1,0.22425615787506104,0.2798946797847748,0.2513580322265625,0.23046299815177917,1,0.25395429134368896,0.25696903467178345,0.273248553276062,0.2484673261642456,2
5100091049.avi,1,0.22762030363082886,0.22172510623931885,0.2586941123008728,0.22499240934848785,2,0.2028300166130066,0.2433517575263977,0.2326383739709854,0.20779213309288025,1,0.22436290979385376,0.2583000361919403,0.2598056197166443,0.2193947583436966,2
9877360143.avi,3,0.25902843475341797,0.2668811082839966,0.2688884437084198,0.25524693727493286,2,0.21986764669418335,0.28001853823661804,0.26024168729782104,0.24046367406845093,1,0.2604168653488159,0.2634669542312622,0.28150513768196106,0.2577615976333618,2
5000671033.avi,3,0.20051443576812744,0.2281731516122818,0.2293163239955902,0.20362503826618195,2,0.22236241400241852,0.2695589065551758,0.2504898011684418,0.21610736846923828,1,0.21277417242527008,0.2356494665145874,0.23755115270614624,0.20896029472351074,2
8264120120.avi,1,0.2053832709789276,0.2228989601135254,0.20971249043941498,0.1834927499294281,1,0.228460431098938,0.22066190838813782,0.20555543899536133,0.19978758692741394,0,0.22194084525108337,0.2018824815750122,0.21815139055252075,0.22630245983600616,3
8264120239.avi,1,0.22473570704460144,0.24112294614315033,0.24445858597755432,0.21933138370513916,2,0.2097138911485672,0.24888816475868225,0.23773148655891418,0.2131543606519699,1,0.2190963327884674,0.248772993683815,0.2524604797363281,0.20481421053409576,2
8264120211.avi,1,0.240436851978302,0.2595122456550598,0.2503318190574646,0.230293408036232,1,0.22590506076812744,0.2601020336151123,0.24194228649139404,0.2248842418193817,1,0.2332175374031067,0.2598569393157959,0.25633490085601807,0.22182254493236542,1
88265402200.mp4,3,0.2844081223011017,0.286965936422348,0.29388076066970825,0.28299006819725037,2,0.26578596234321594,0.3147794008255005,0.31826695799827576,0.2800648510456085,2,0.2689218819141388,0.29102033376693726,0.29263168573379517,0.2681393623352051,2
5000952046.avi,3,0.18141013383865356,0.19460338354110718,0.2154349982738495,0.18309541046619415,2,0.19619527459144592,0.2464316040277481,0.22480212152004242,0.1838097870349884,1,0.20134031772613525,0.21252530813217163,0.2190108746290207,0.18806153535842896,2
9877360120.avi,1,0.26018041372299194,0.27621883153915405,0.2654501795768738,0.2509125769138336,1,0.2322559356689453,0.292161226272583,0.2635275721549988,0.24450933933258057,1,0.2627181112766266,0.2635701894760132,0.27766674757003784,0.2510632872581482,2
9289010152.avi,1,0.24479372799396515,0.25249993801116943,0.25256240367889404,0.24915647506713867,2,0.2442702203989029,0.2756303548812866,0.2930856943130493,0.22095569968223572,2,0.20307449996471405,0.22850286960601807,0.23879587650299072,0.24339115619659424,3
5000671005.avi,2,0.20046654343605042,0.22609764337539673,0.2265104204416275,0.2102956771850586,2,0.19821879267692566,0.2509300112724304,0.25069981813430786,0.21025614440441132,1,0.20133918523788452,0.233050137758255,0.22892051935195923,0.19565659761428833,1
88265402340.mp4,2,0.27108532190322876,0.2810293436050415,0.28249067068099976,0.2674182057380676,2,0.2458784580230713,0.29121190309524536,0.29363423585891724,0.2632613778114319,2,0.2488347887992859,0.27315711975097656,0.26670730113983154,0.25487658381462097,1
9403280229.avi,3,0.24198395013809204,0.24335187673568726,0.2709384560585022,0.2612840533256531,2,0.20043224096298218,0.27365273237228394,0.27686673402786255,0.24308311939239502,2,0.207967609167099,0.2400929182767868,0.2558101415634155,0.22529834508895874,2
5000441024.avi,1,0.20104652643203735,0.24543368816375732,0.23203244805335999,0.21477974951267242,1,0.19698409736156464,0.24043633043766022,0.24298310279846191,0.1944277286529541,2,0.20257976651191711,0.23763680458068848,0.22971972823143005,0.2090679258108139,1
5100341028.avi,2,0.1986943483352661,0.20205368101596832,0.24373595416545868,0.19681642949581146,2,0.19017565250396729,0.2383403480052948,0.22331729531288147,0.18789905309677124,1,0.21502849459648132,0.22860866785049438,0.2444215714931488,0.19410067796707153,2
5000671048.avi,1,0.2093391865491867,0.2360764592885971,0.23037439584732056,0.2100895792245865,1,0.22040531039237976,0.2730233669281006,0.2605397403240204,0.2212790548801422,1,0.21164590120315552,0.2386053502559662,0.23699668049812317,0.21382535994052887,1
5000672013.avi,3,0.20547492802143097,0.22927972674369812,0.2328612208366394,0.2103901356458664,2,0.18923085927963257,0.24858009815216064,0.2433975338935852,0.1968560814857483,1,0.18301811814308167,0.2376086413860321,0.22229202091693878,0.18814879655838013,1
5100382003.avi,3,0.21880783140659332,0.24177619814872742,0.22919827699661255,0.21195778250694275,1,0.2043151557445526,0.2384345978498459,0.2258061319589615,0.21280214190483093,1,0.21892106533050537,0.25331050157546997,0.22285744547843933,0.1963573396205902,1
5100381002.avi,3,0.2394213080406189,0.2543887794017792,0.24857574701309204,0.24758285284042358,1,0.24016577005386353,0.2731558382511139,0.2623414993286133,0.26091787219047546,1,0.27800115942955017,0.28610679507255554,0.27582061290740967,0.242680162191391,1
5100382013.avi,3,0.23643790185451508,0.2545730471611023,0.24227392673492432,0.22859743237495422,1,0.2143745869398117,0.25413089990615845,0.24296526610851288,0.229300856590271,1,0.23440447449684143,0.2711605429649353,0.24253112077713013,0.20983582735061646,1
5000671030.avi,3,0.21056120097637177,0.22611291706562042,0.2217625230550766,0.201862633228302,1,0.24969352781772614,0.269550085067749,0.2510979175567627,0.21943506598472595,1,0.2374516725540161,0.23947666585445404,0.2566215991973877,0.22452467679977417,2
5000442054.avi,3,0.1986604928970337,0.2353021204471588,0.23764221370220184,0.21725580096244812,2,0.1911294162273407,0.24614980816841125,0.24533256888389587,0.20732209086418152,1,0.2077782303094864,0.23162734508514404,0.23347905278205872,0.21481218934059143,2
8264120139.avi,3,0.22036346793174744,0.24584195017814636,0.23096224665641785,0.211493119597435,1,0.20055288076400757,0.24061137437820435,0.22154203057289124,0.19306740164756775,1,0.22091883420944214,0.2373301386833191,0.2529575228691101,0.1992429941892624,2
826412019.avi,2,0.19088280200958252,0.2159772515296936,0.22339792549610138,0.1901884377002716,2,0.20557785034179688,0.23718520998954773,0.21741367876529694,0.19701464474201202,1,0.2143326699733734,0.20468324422836304,0.23497700691223145,0.19873729348182678,2
5100461064.avi,3,0.18502959609031677,0.20318220555782318,0.21144932508468628,0.1996833235025406,2,0.18264392018318176,0.21845996379852295,0.21718823909759521,0.192603200674057,1,0.18093973398208618,0.22354400157928467,0.2319059818983078,0.1760217249393463,2
9877360215.avi,3,0.2679021656513214,0.2768304646015167,0.2776685357093811,0.264121949672699,2,0.2205074429512024,0.27936261892318726,0.2637544870376587,0.24793335795402527,1,0.25853002071380615,0.2693653404712677,0.2787376642227173,0.2600581645965576,2
9289010269.avi,3,0.21843771636486053,0.23568585515022278,0.23216116428375244,0.23528599739074707,1,0.21361437439918518,0.25980186462402344,0.27979108691215515,0.2233148217201233,2,0.21640519797801971,0.22728049755096436,0.25442129373550415,0.2585485577583313,3
5000441058.avi,1,0.22706711292266846,0.2473253458738327,0.24259084463119507,0.23468677699565887,1,0.21686553955078125,0.25480085611343384,0.25767847895622253,0.22402775287628174,2,0.23661145567893982,0.2583902180194855,0.2530789375305176,0.2319013476371765,1
5100422046.avi,3,0.18798822164535522,0.21173670887947083,0.22722628712654114,0.20674660801887512,2,0.18285807967185974,0.2354091852903366,0.23735789954662323,0.21330401301383972,2,0.20012275874614716,0.2290952205657959,0.23355922102928162,0.20167291164398193,2
5000671020.avi,2,0.19637137651443481,0.2170335203409195,0.2184610515832901,0.19966992735862732,2,0.21800066530704498,0.25300198793411255,0.24678876996040344,0.20863616466522217,1,0.22041046619415283,0.23221853375434875,0.24434244632720947,0.20988883078098297,2
5100341061.avi,2,0.20386460423469543,0.2098769098520279,0.24596162140369415,0.2004920393228531,2,0.182646244764328,0.24093998968601227,0.22898879647254944,0.1930162012577057,1,0.19936412572860718,0.230636328458786,0.22960881888866425,0.18425841629505157,1
5000671058.avi,1,0.18559202551841736,0.2140163779258728,0.215017631649971,0.19085755944252014,2,0.20965151488780975,0.25455719232559204,0.24027320742607117,0.1994379609823227,1,0.21158547699451447,0.2235066145658493,0.2359335571527481,0.2050618976354599,2
5000441067.avi,1,0.2030133754014969,0.22904230654239655,0.23700417578220367,0.22114485502243042,2,0.20474939048290253,0.25604018568992615,0.24729499220848083,0.20928767323493958,1,0.22650429606437683,0.24192877113819122,0.24736155569553375,0.22025924921035767,2
9070011060.mp4,3,0.2799055576324463,0.2757810950279236,0.2832963466644287,0.26771217584609985,2,0.25306281447410583,0.2845859229564667,0.2831686735153198,0.262654572725296,1,0.2579980790615082,0.28471508622169495,0.2716354727745056,0.2527845501899719,1
5000951039.avi,2,0.18627789616584778,0.20495998859405518,0.22482648491859436,0.19114679098129272,2,0.2017202079296112,0.2456549108028412,0.22567185759544373,0.19372430443763733,1,0.2100437879562378,0.21865573525428772,0.23231977224349976,0.19003604352474213,2
5100381003.avi,3,0.20882292091846466,0.24059072136878967,0.23316694796085358,0.2153223603963852,1,0.2152995616197586,0.25172609090805054,0.2438107132911682,0.22150197625160217,1,0.23351293802261353,0.2509496808052063,0.24953651428222656,0.2268615961074829,1
907001670.mp4,3,0.2482919842004776,0.2543981671333313,0.25796791911125183,0.2514127492904663,2,0.23965196311473846,0.29570335149765015,0.29160889983177185,0.24245843291282654,1,0.23236492276191711,0.27412867546081543,0.2528932988643646,0.24921682476997375,1
9403280271.avi,1,0.18836477398872375,0.19175897538661957,0.22593757510185242,0.21907642483711243,2,0.20385953783988953,0.23903220891952515,0.23946991562843323,0.22375449538230896,2,0.210087850689888,0.20136713981628418,0.24761265516281128,0.23070049285888672,2
9877360270.avi,1,0.2699993848800659,0.2742399573326111,0.2885727286338806,0.2625744342803955,2,0.24006441235542297,0.3001926839351654,0.2765648663043976,0.255632221698761,1,0.2635236978530884,0.2602233290672302,0.28941816091537476,0.252986878156662,2
5100402024.avi,3,0.225030779838562,0.23845823109149933,0.23999778926372528,0.22106316685676575,2,0.22193628549575806,0.2718513309955597,0.24981485307216644,0.2265404760837555,1,0.23565369844436646,0.2502792477607727,0.2397366613149643,0.20858880877494812,1
5100402063.avi,1,0.22291964292526245,0.23420311510562897,0.23435169458389282,0.21748533844947815,2,0.21337027847766876,0.272455096244812,0.2517293691635132,0.22656872868537903,1,0.2168048620223999,0.2444128543138504,0.21985775232315063,0.19892312586307526,1
8264120232.avi,2,0.21605193614959717,0.23001372814178467,0.2307284027338028,0.21138235926628113,2,0.22036218643188477,0.24591423571109772,0.23248527944087982,0.21540376543998718,1,0.23019535839557648,0.23918086290359497,0.25168007612228394,0.20276609063148499,2
5100342024.avi,1,0.2606605291366577,0.24459800124168396,0.26979732513427734,0.2579006552696228,2,0.2768712043762207,0.2759740650653839,0.2982211709022522,0.27434301376342773,2,0.2799215018749237,0.2627411186695099,0.3013635575771332,0.2800268530845642,2
928901014.avi,1,0.2546326518058777,0.2549789547920227,0.25814133882522583,0.2609579861164093,3,0.2492055594921112,0.2896001935005188,0.315332293510437,0.25364774465560913,2,0.21025100350379944,0.2303468883037567,0.25202494859695435,0.28244784474372864,3
88265402230.mp4,2,0.26896530389785767,0.277523934841156,0.2796025276184082,0.26631179451942444,2,0.24833396077156067,0.2972482740879059,0.29730671644210815,0.2596799433231354,2,0.24723201990127563,0.27464863657951355,0.2677781581878662,0.2530997097492218,1
5000441021.avi,3,0.20201757550239563,0.23983708024024963,0.23170828819274902,0.21707293391227722,1,0.2127683460712433,0.2505796551704407,0.24716496467590332,0.20736657083034515,1,0.22709347307682037,0.24105216562747955,0.24477097392082214,0.2238830178976059,2
5100092008.avi,3,0.22461356222629547,0.231460839509964,0.25719720125198364,0.23370057344436646,2,0.1862790286540985,0.22838862240314484,0.23467950522899628,0.21474194526672363,2,0.20905187726020813,0.2672218084335327,0.2528974413871765,0.22391048073768616,1
5000441051.avi,2,0.21751192212104797,0.24284648895263672,0.24481254816055298,0.23159781098365784,2,0.20967862010002136,0.25413379073143005,0.25316476821899414,0.2211882770061493,1,0.23330338299274445,0.24767905473709106,0.251460999250412,0.2309744656085968,2
5000672077.avi,2,0.19799377024173737,0.22302788496017456,0.23319002985954285,0.21701103448867798,2,0.19989259541034698,0.25067904591560364,0.25298431515693665,0.22158139944076538,2,0.19590499997138977,0.23932811617851257,0.23980261385440826,0.22080962359905243,2
5100352030.avi,3,0.20626458525657654,0.18872323632240295,0.23092931509017944,0.19855725765228271,2,0.2194003462791443,0.2504499554634094,0.22591711580753326,0.20960569381713867,1,0.224660262465477,0.2262573391199112,0.2542784810066223,0.20871081948280334,2
9877360258.avi,2,0.2406134456396103,0.25578203797340393,0.26186603307724,0.24080482125282288,2,0.23398157954216003,0.2921532392501831,0.25820890069007874,0.23939719796180725,1,0.26512622833251953,0.25625109672546387,0.28296077251434326,0.2596457600593567,2
5100462053.avi,3,0.1612207591533661,0.18344958126544952,0.19315701723098755,0.18073540925979614,2,0.15083999931812286,0.19925668835639954,0.20564526319503784,0.16901199519634247,2,0.16440923511981964,0.203961580991745,0.2144412100315094,0.17005997896194458,2
90700170.mp4,3,0.24917608499526978,0.26553061604499817,0.26637810468673706,0.25460338592529297,2,0.23455406725406647,0.27954089641571045,0.28202301263809204,0.2572811543941498,2,0.22434867918491364,0.27241450548171997,0.25457507371902466,0.25169485807418823,1
5100092067.avi,3,0.23288705945014954,0.2366102635860443,0.259557843208313,0.24159547686576843,2,0.19135290384292603,0.23163627088069916,0.24277150630950928,0.21987147629261017,2,0.20292028784751892,0.2704273462295532,0.2476714849472046,0.22568365931510925,1
5100422006.avi,3,0.19193390011787415,0.21027570962905884,0.2215578258037567,0.2023639976978302,2,0.18497568368911743,0.23765525221824646,0.24607005715370178,0.21786244213581085,2,0.18144464492797852,0.21632631123065948,0.21056361496448517,0.20153939723968506,1
88265402900.mp4,3,0.2464432269334793,0.27141430974006653,0.264972060918808,0.2511519193649292,1,0.23088425397872925,0.2754652500152588,0.28087547421455383,0.24528621137142181,2,0.22735488414764404,0.25852423906326294,0.2561764121055603,0.2500680685043335,1
