clip_id,predicted,ground_truth
5000441058.avi,2,1
5100422046.avi,2,3
5000671020.avi,2,2
5100341061.avi,2,2
5000671058.avi,2,1
5000441067.avi,2,1
9070011060.mp4,2,3
5000951039.avi,2,2
5100381003.avi,2,3
907001670.mp4,2,3
9403280271.avi,2,1
9877360270.avi,2,1
5100402024.avi,2,3
5100402063.avi,2,1
8264120232.avi,2,2
5100342024.avi,2,1
928901014.avi,2,1
88265402230.mp4,2,2
5000441021.avi,2,3
5100092008.avi,2,3
5000441051.avi,2,2
5000672077.avi,2,2
5100352030.avi,2,3
9877360258.avi,2,2
5100462053.avi,2,3
90700170.mp4,2,3
5100092067.avi,2,3
5100422006.avi,2,3
88265402900.mp4,2,3
8264120279.avi,2,1
5100451049.avi,2,3
9877360172.avi,2,1
5100351022.avi,2,0
9403280251.avi,2,2
9877360157.avi,2,1
5100462071.avi,2,2
9289010145.avi,2,1
5100401034.avi,2,1
5100422071.avi,2,3
8264120269.avi,2,1
5000671050.avi,2,2
8264120169.avi,2,1
5100461057.avi,2,2
5100401026.avi,2,3
5100352031.avi,2,3
8264120254.avi,2,1
88265402880.mp4,2,2
5000672012.avi,2,2
5000951047.avi,2,2
5100422073.avi,2,2
9877360185.avi,2,2
5100372011.avi,2,3
9877360127.avi,2,2
5100472021.avi,2,3
5100451027.avi,2,3
8264120240.avi,2,0
5000951027.avi,2,1
5100402015.avi,2,2
9403280246.avi,2,3
9289010114.avi,2,1
5100351042.avi,2,1
5000671038.avi,2,2
88265401660.mp4,2,3
907001310.mp4,2,3
5100452023.avi,2,2
8264120127.avi,2,1
8264120263.avi,2,1
5100471012.avi,2,2
5100091012.avi,2,2
5000442015.avi,2,2
5100381037.avi,2,2
5100091025.avi,2,2
5100092040.avi,2,3
5000952015.avi,2,3
5100351004.avi,2,2
5100471045.avi,2,2
5100382011.avi,2,3
8264120136.avi,2,2
9403280241.avi,2,3
5100471069.avi,2,3
5000672019.avi,2,3
5000952038.avi,2,3
5100351010.avi,2,2
5000951024.avi,2,1
5100472001.avi,2,1
5000952062.avi,2,1
5100361056.avi,2,2
5000952077.avi,2,2
5100401065.avi,2,1
9403280260.avi,2,3
5100471080.avi,2,2
5100342008.avi,2,2
5100381054.avi,2,2
9289010210.avi,2,3
5100462045.avi,2,2
9289010276.avi,2,1
9877360234.avi,2,3
5100401062.avi,2,3
5000672048.avi,2,2
5000671070.avi,2,1
8264120156.avi,2,1
907001950.mp4,2,1
88265402690.mp4,2,3
5100401043.avi,2,1
998826011.avi,2,3
5100461038.avi,2,2
5100092061.avi,2,3
5100421026.avi,2,3
8264120132.avi,2,2
5100341033.avi,2,2
88265401740.mp4,2,3
88265401750.mp4,2,1
5100472005.avi,2,2
88265401190.mp4,2,3
8264120229.avi,2,2
5100342022.avi,2,0
5000671065.avi,2,2
5100471047.avi,2,3
5000951015.avi,2,3
5000441009.avi,2,3
8264120150.avi,2,1
9403280138.avi,2,2
5000952064.avi,2,3
5000441046.avi,2,3
5100402062.avi,2,1
8264120243.avi,2,1
5100341038.avi,2,2
5100341043.avi,2,1
5100472027.avi,2,3
5100381058.avi,2,2
987736017.avi,2,2
5000671061.avi,2,1
5000671010.avi,2,3
5100381008.avi,2,2
9877360147.avi,2,3
5000952054.avi,2,2
5000952034.avi,2,1
88265402660.mp4,2,3
5100401011.avi,2,2
8264120282.avi,2,1
5100462003.avi,2,1
5100451004.avi,2,3
5000672052.avi,2,3
5100472054.avi,2,2
5000671047.avi,2,2
88265401490.mp4,2,3
8264120116.avi,2,1
8264120256.avi,2,1
5100342028.avi,2,1
5100092002.avi,2,3
88265401260.mp4,2,3
9877360256.avi,2,1
9403280245.avi,2,3
5100401016.avi,2,2
5000951019.avi,2,1
5100342023.avi,2,1
5000671022.avi,2,2
5000671063.avi,2,2
5100381021.avi,2,2
5000671069.avi,2,1
5100422034.avi,2,2
5100381023.avi,2,3
5100091028.avi,2,2
5000441059.avi,2,2
5100402023.avi,2,3
5000441048.avi,2,2
5100461031.avi,2,2
9403280145.avi,2,2
5100381034.avi,2,3
5100341074.avi,2,1
5100472058.avi,2,1
5000441064.avi,2,2
5100382014.avi,2,3
9289010266.avi,2,3
5000441008.avi,2,2
9289010262.avi,2,3
8264120265.avi,2,1
5100421054.avi,2,2
5000672075.avi,2,3
5100461033.avi,2,2
5100461004.avi,2,2
5100382062.avi,2,3
5000442009.avi,2,3
9403280217.avi,2,2
5000951023.avi,2,1
5100352022.avi,2,1
8264120117.avi,2,3
5100351001.avi,2,1
5100352054.avi,2,1
9877360133.avi,2,0
5100451017.avi,2,2
987736022.avi,2,2
5000671049.avi,2,1
5000951045.avi,2,2
5100351013.avi,2,1
5100462048.avi,2,2
9289010271.avi,2,2
8264120249.avi,2,1
5100422004.avi,2,3
5100452067.avi,2,3
88265401240.mp4,2,3
5100381055.avi,2,2
5100401066.avi,2,3
5000671002.avi,2,2
5100461005.avi,2,2
5100382070.avi,2,3
5100092011.avi,2,2
928901013.avi,2,3
9877360183.avi,2,3
5100352060.avi,2,2
9877360169.avi,2,1
9877360152.avi,2,3
5100452031.avi,2,3
8264120262.avi,2,1
8264120261.avi,2,1
5100341055.avi,2,3
5100352043.avi,2,1
9877360141.avi,2,3
