clip_id,raw_answer,predicted,ground_truth
5100402023.avi,yes,2,3
5000441048.avi,yes,2,2
5100461031.avi,no,0,2
9403280145.avi,yes,2,2
5100381034.avi,yes,2,3
5100341074.avi,yes,2,1
5100472058.avi,no,0,1
5000441064.avi,yes,2,2
5100382014.avi,yes,2,3
9289010266.avi,yes,2,3
5000441008.avi,yes,2,2
9289010262.avi,yes,2,3
8264120265.avi,yes,2,1
5100421054.avi,lot,2,2
5000672075.avi,lot,2,3
5100461033.avi,lot,2,2
5100461004.avi,no,0,2
5100382062.avi,yes,2,3
5000442009.avi,yes,2,3
9403280217.avi,yes,2,2
5000951023.avi,yes,2,1
5100352022.avi,yes,2,1
8264120117.avi,yes,2,3
5100351001.avi,yes,2,1
5100352054.avi,yes,2,1
9877360133.avi,lot,2,0
5100451017.avi,yes,2,2
987736022.avi,little,1,2
5000671049.avi,no,0,1
5000951045.avi,yes,2,2
5100351013.avi,yes,2,1
5100462048.avi,lot,2,2
9289010271.avi,yes,2,2
8264120249.avi,yes,2,1
5100422004.avi,no,0,3
5100452067.avi,yes,2,3
88265401240.mp4,lot,2,3
5100381055.avi,yes,2,2
5100401066.avi,yes,2,3
5000671002.avi,lot,2,2
5100461005.avi,lot,2,2
5100382070.avi,yes,2,3
5100092011.avi,yes,2,2
928901013.avi,yes,2,3
9877360183.avi,lot,2,3
5100352060.avi,yes,2,2
9877360169.avi,little,1,1
9877360152.avi,little,1,3
5100452031.avi,yes,2,3
8264120262.avi,yes,2,1
8264120261.avi,yes,2,1
5100341055.avi,yes,2,3
5100352043.avi,yes,2,1
9877360141.avi,little,1,3
